Code Géographique;Région;Département;Libellé Géographique;Coordonnees;année;Naissances
59483;31;59;Quiévelon;50.2350198423, 4.06805030291;2005;4
59483;31;59;Quiévelon;50.2350198423, 4.06805030291;2006;5
59492;31;59;Ramillies;50.2072582763, 3.24940380157;2003;3
59498;31;59;Reumont;50.0851954003, 3.47837512553;2007;3
59498;31;59;Reumont;50.0851954003, 3.47837512553;2012;3
59499;31;59;Rexpoëde;50.9353119359, 2.54496726178;2005;32
59499;31;59;Rexpoëde;50.9353119359, 2.54496726178;2012;36
59500;31;59;Ribécourt-la-Tour;50.1039235945, 3.13170162173;2008;4
59007;31;59;Anhiers;50.4047718446, 3.15371031857;2003;11
59007;31;59;Anhiers;50.4047718446, 3.15371031857;2010;14
59011;31;59;Annoeullin;50.5265153703, 2.92753629479;2009;111
59011;31;59;Annoeullin;50.5265153703, 2.92753629479;2013;110
59013;31;59;Anstaing;50.603523536, 3.18920215192;2005;16
59016;31;59;Armbouts-Cappel;50.981590247, 2.34855524915;2010;26
59017;31;59;Armentières;50.6913797537, 2.8797155328;2011;435
59018;31;59;Arnèke;50.8416889858, 2.41843292762;2006;20
59021;31;59;Assevent;50.2884411784, 4.01973285077;2011;23
59022;31;59;Attiches;50.5138938279, 3.06223374765;2011;23
59023;31;59;Aubencheul-au-Bac;50.2518526914, 3.16168773742;2005;2
59025;31;59;Aubers;50.5960514415, 2.81995366841;2009;13
59037;31;59;Avesnes-les-Aubert;50.1911782213, 3.37676857334;2011;47
59045;31;59;Baives;50.0673923236, 4.20393625141;2008;1
59046;31;59;Bambecque;50.9087831017, 2.56046766711;2013;5
59049;31;59;Bantouzelle;50.0579473391, 3.22511810175;2009;5
59049;31;59;Bantouzelle;50.0579473391, 3.22511810175;2013;8
59059;31;59;Beaumont-en-Cambrésis;50.1265847908, 3.45162407092;2003;7
59063;31;59;Beauvois-en-Cambrésis;50.1403335661, 3.38449590227;2012;37
59068;31;59;Berlaimont;50.2057229954, 3.79391306597;2008;41
59070;31;59;Bermeries;50.2847571566, 3.74905320173;2006;6
59071;31;59;Bersée;50.4804538835, 3.15078397856;2009;16
59071;31;59;Bersée;50.4804538835, 3.15078397856;2004;20
59073;31;59;Berthen;50.7779383016, 2.6875622719;2010;3
59075;31;59;Béthencourt;50.1426560397, 3.42342136756;2011;15
59077;31;59;Bettrechies;50.3221407699, 3.74013412317;2010;5
59080;31;59;Beuvry-la-Forêt;50.4499686964, 3.28271096457;2007;20
59082;31;59;Bierne;50.9713270565, 2.40211995661;2011;7
59090;31;59;Bondues;50.7096656233, 3.09529083038;2003;119
59091;31;59;Borre;50.731528018, 2.58086143092;2013;6
59092;31;59;Bouchain;50.2808463643, 3.3121651121;2011;51
59093;31;59;Boulogne-sur-Helpe;50.0790302636, 3.89209548407;2006;5
59094;31;59;Bourbourg;50.9424001702, 2.20355448436;2011;118
59094;31;59;Bourbourg;50.9424001702, 2.20355448436;2005;93
59096;31;59;Bourghelles;50.5637205192, 3.24739149692;2010;12
59097;31;59;Boursies;50.1408057238, 3.04441612391;2007;4
59099;31;59;Bousies;50.151363705, 3.61511089589;2010;23
59104;31;59;Boussois;50.2948725712, 4.04711513653;2003;38
59104;31;59;Boussois;50.2948725712, 4.04711513653;2006;37
59107;31;59;Bray-Dunes;51.0730436867, 2.52764870458;2009;50
59107;31;59;Bray-Dunes;51.0730436867, 2.52764870458;2003;58
59108;31;59;Briastre;50.154815937, 3.48675100947;2004;6
59110;31;59;Brouckerque;50.9515630712, 2.28707334994;2013;13
59111;31;59;Broxeele;50.8279362343, 2.32136721551;2004;3
59112;31;59;Bruay-sur-l'Escaut;50.3973093421, 3.53909152804;2006;180
59115;31;59;Brunémont;50.2745061343, 3.14482312096;2010;14
59115;31;59;Brunémont;50.2745061343, 3.14482312096;2011;16
59115;31;59;Brunémont;50.2745061343, 3.14482312096;2005;9
59116;31;59;Bry;50.3162997425, 3.68368839887;2011;2
59121;31;59;Cagnoncles;50.185423787, 3.31868765658;2004;10
59125;31;59;Cantaing-sur-Escaut;50.1451657481, 3.15708777258;2013;1
59126;31;59;Cantin;50.3097701017, 3.1238994061;2005;14
59126;31;59;Cantin;50.3097701017, 3.1238994061;2012;15
59128;31;59;Capinghem;50.6474745374, 2.96473852343;2012;16
59129;31;59;Cappelle-en-Pévèle;50.5045434166, 3.17433068381;2006;16
59130;31;59;Cappelle-Brouck;50.8938368005, 2.22204306272;2010;16
59317;31;59;Houplines;50.6841292085, 2.92646496256;2003;119
59317;31;59;Houplines;50.6841292085, 2.92646496256;2012;115
59321;31;59;Inchy;50.1219699248, 3.47168074868;2003;6
59323;31;59;Jenlain;50.3097021009, 3.63092596962;2003;14
59324;31;59;Jeumont;50.2913767196, 4.10405698183;2003;155
59330;31;59;Landas;50.4726958028, 3.29518086014;2006;23
59334;31;59;Lauwin-Planque;50.3929252275, 3.02930995162;2010;14
59334;31;59;Lauwin-Planque;50.3929252275, 3.02930995162;2007;19
59334;31;59;Lauwin-Planque;50.3929252275, 3.02930995162;2004;21
59335;31;59;Lecelles;50.474778936, 3.39878461837;2005;26
59336;31;59;Lécluse;50.2765109082, 3.03054584973;2003;30
59338;31;59;Ledringhem;50.862026516, 2.44478876781;2010;17
59338;31;59;Ledringhem;50.862026516, 2.44478876781;2005;14
59342;31;59;Lez-Fontaine;50.1733832806, 4.06309065769;2010;2
59342;31;59;Lez-Fontaine;50.1733832806, 4.06309065769;2012;4
59343;31;59;Lesquin;50.5892285666, 3.11191934713;2013;95
59344;31;59;Leval;50.180651266, 3.83355819928;2011;44
